,0
0,0.0
1,0.46875
2,0.46875
3,0.53125
4,0.46875
5,0.6875
6,0.5
7,0.625
8,0.4375
9,0.65625
10,0.40625
11,0.53125
12,0.46875
13,0.5
14,0.4375
15,0.6875
16,0.5
17,0.59375
18,0.4375
19,0.625
20,0.8125
21,0.59375
22,0.6875
23,0.53125
24,0.625
25,0.46875
26,0.78125
27,0.5
28,0.78125
29,0.4375
30,0.5625
31,0.75
32,0.59375
33,0.53125
34,0.5
35,0.78125
36,0.59375
37,0.65625
38,0.6875
39,0.6875
40,0.6875
41,0.5
42,0.75
43,0.75
44,0.6875
45,0.5
46,0.59375
47,0.5
48,0.78125
49,0.53125
50,0.6875
51,0.78125
52,0.6875
53,0.4375
54,0.78125
55,0.78125
56,0.625
57,0.59375
58,0.75
59,0.625
60,0.59375
61,0.40625
62,0.65625
63,0.59375
64,0.46875
65,0.8125
66,0.71875
67,0.5625
68,0.53125
69,0.53125
70,0.59375
71,0.78125
72,0.6875
73,0.625
74,0.59375
75,0.75
76,0.65625
77,0.5625
78,0.625
79,0.78125
80,0.59375
81,0.8125
82,0.65625
83,0.5625
84,0.59375
85,0.84375
86,0.75
87,0.625
88,0.5625
89,0.6875
90,0.6875
91,0.625
92,0.78125
93,0.59375
94,0.0
95,0.0
96,0.0
97,0.6875
98,0.46875
99,0.71875
100,0.5
101,0.59375
102,0.53125
103,0.625
104,0.59375
105,0.75
106,0.5625
107,0.71875
108,0.625
109,0.71875
110,0.59375
111,0.71875
112,0.5625
113,0.5625
114,0.71875
115,0.71875
116,0.78125
117,0.5
118,0.625
119,0.59375
120,0.59375
121,0.625
122,0.53125
123,0.5
124,0.59375
125,0.46875
126,0.5625
127,0.4375
128,0.4375
129,0.5
130,0.3125
131,0.59375
132,0.5
133,0.625
134,0.59375
135,0.625
136,0.625
137,0.65625
138,0.75
139,0.625
140,0.65625
141,0.6875
142,0.59375
143,0.5625
144,0.5
145,0.5625
146,0.59375
147,0.625
148,0.78125
149,0.65625
150,0.5
151,0.625
152,0.59375
153,0.78125
154,0.6875
155,0.6875
156,0.6875
157,0.6875
158,0.65625
159,0.53125
160,0.53125
161,0.6875
162,0.8125
163,0.625
164,0.625
165,0.53125
166,0.75
167,0.65625
168,0.65625
169,0.5625
170,0.65625
171,0.71875
172,0.625
173,0.59375
174,0.59375
175,0.6875
176,0.75
177,0.65625
178,0.65625
179,0.78125
180,0.59375
181,0.78125
182,0.625
183,0.6875
184,0.8125
185,0.53125
186,0.6875
