,0
0,0.0625
1,0.0625
2,0.0625
3,0.15625
4,0.09375
5,0.1875
6,0.03125
7,0.1875
8,0.09375
9,0.15625
10,0.15625
11,0.21875
12,0.125
13,0.09375
14,0.09375
15,0.21875
16,0.28125
17,0.125
18,0.21875
19,0.21875
20,0.15625
21,0.3125
22,0.28125
23,0.21875
24,0.28125
25,0.25
26,0.09375
27,0.1875
28,0.34375
29,0.40625
30,0.28125
31,0.21875
32,0.125
33,0.28125
34,0.1875
35,0.1875
36,0.34375
37,0.5625
38,0.3125
39,0.375
40,0.15625
41,0.4375
42,0.125
43,0.28125
44,0.4375
45,0.40625
46,0.3125
47,0.46875
48,0.46875
49,0.3125
50,0.5625
51,0.46875
52,0.625
53,0.71875
54,0.25
55,0.375
56,0.4375
57,0.46875
58,0.5
59,0.53125
60,0.40625
61,0.40625
62,0.4375
63,0.46875
64,0.5
65,0.71875
66,0.5
67,0.84375
68,0.625
69,0.53125
70,0.46875
71,0.46875
72,0.625
73,0.46875
74,0.40625
75,0.625
76,0.59375
77,0.5
78,0.5625
79,0.625
80,0.5625
81,0.71875
82,0.5
83,0.46875
84,0.5625
85,0.6875
86,0.625
87,0.53125
88,0.65625
89,0.71875
90,0.6875
91,0.6875
92,0.59375
93,0.6875
94,0.59375
95,0.375
96,0.6875
97,0.6875
98,0.5625
99,0.5
100,0.5625
101,0.59375
102,0.46875
103,0.5625
104,0.59375
105,0.5
106,0.53125
107,0.5625
108,0.53125
109,0.4375
110,0.4375
111,0.46875
112,0.78125
113,0.5625
114,0.59375
115,0.625
116,0.8125
117,0.625
118,0.6875
119,0.59375
120,0.5
121,0.78125
122,0.59375
123,0.65625
124,0.5
125,0.65625
126,0.71875
127,0.71875
128,0.78125
129,0.625
130,0.53125
131,0.75
132,0.6875
133,0.65625
134,0.625
135,0.71875
136,0.53125
137,0.65625
138,0.71875
139,0.59375
140,0.75
141,0.71875
142,0.8125
143,0.71875
144,0.65625
145,0.71875
146,0.65625
147,0.78125
148,0.6875
149,0.8125
150,0.625
151,0.75
152,0.84375
153,0.78125
154,0.75
155,0.75
156,0.9375
157,0.71875
158,0.6875
159,0.84375
160,0.65625
161,0.6875
162,0.71875
163,0.78125
164,0.875
165,0.6875
166,0.75
167,0.78125
168,0.71875
169,0.78125
170,0.78125
171,0.8125
172,0.8125
173,0.71875
174,0.84375
175,0.75
176,0.84375
177,0.8125
178,0.75
179,0.90625
180,0.84375
181,0.78125
182,0.75
183,0.75
184,0.75
185,0.84375
186,0.8125
