,0
0,0.09375
1,0.1875
2,0.03125
3,0.1875
4,0.03125
5,0.15625
6,0.125
7,0.09375
8,0.09375
9,0.15625
10,0.15625
11,0.21875
12,0.0625
13,0.15625
14,0.1875
15,0.25
16,0.125
17,0.1875
18,0.15625
19,0.1875
20,0.1875
21,0.3125
22,0.3125
23,0.09375
24,0.375
25,0.1875
26,0.09375
27,0.3125
28,0.375
29,0.28125
30,0.1875
31,0.21875
32,0.125
33,0.25
34,0.125
35,0.28125
36,0.375
37,0.53125
38,0.40625
39,0.3125
40,0.25
41,0.3125
42,0.21875
43,0.21875
44,0.40625
45,0.40625
46,0.53125
47,0.5625
48,0.40625
49,0.4375
50,0.5625
51,0.625
52,0.5
53,0.5625
54,0.46875
55,0.34375
56,0.59375
57,0.59375
58,0.4375
59,0.59375
60,0.59375
61,0.5
62,0.4375
63,0.59375
64,0.46875
65,0.71875
66,0.40625
67,0.6875
68,0.625
69,0.53125
70,0.46875
71,0.53125
72,0.75
73,0.59375
74,0.5
75,0.59375
76,0.59375
77,0.4375
78,0.5
79,0.59375
80,0.59375
81,0.625
82,0.4375
83,0.5625
84,0.5
85,0.6875
86,0.6875
87,0.5625
88,0.5625
89,0.75
90,0.53125
91,0.6875
92,0.59375
93,0.6875
94,0.625
95,0.46875
96,0.65625
97,0.6875
98,0.625
99,0.53125
100,0.6875
101,0.71875
102,0.59375
103,0.625
104,0.84375
105,0.65625
106,0.625
107,0.75
108,0.71875
109,0.5
110,0.46875
111,0.4375
112,0.84375
113,0.71875
114,0.84375
115,0.65625
116,0.75
117,0.625
118,0.75
119,0.625
120,0.65625
121,0.875
122,0.625
123,0.6875
124,0.625
125,0.75
126,0.8125
127,0.71875
128,0.8125
129,0.625
130,0.625
131,0.84375
132,0.78125
133,0.65625
134,0.71875
135,0.8125
136,0.53125
137,0.75
138,0.90625
139,0.59375
140,0.78125
141,0.75
142,0.84375
143,0.65625
144,0.78125
145,0.59375
146,0.71875
147,0.78125
148,0.65625
149,0.8125
150,0.71875
151,0.71875
152,0.78125
153,0.75
154,0.8125
155,0.75
156,0.84375
157,0.71875
158,0.65625
159,0.84375
160,0.78125
161,0.6875
162,0.78125
163,0.84375
164,0.8125
165,0.71875
166,0.75
167,0.71875
168,0.65625
169,0.71875
170,0.84375
171,0.96875
172,0.8125
173,0.875
174,0.8125
175,0.71875
176,0.78125
177,0.6875
178,0.65625
179,0.84375
180,0.90625
181,0.875
182,0.875
183,0.875
184,0.71875
185,0.90625
186,0.84375
187,0.78125
188,0.75
189,0.8125
190,0.65625
191,0.875
192,0.6875
193,0.71875
194,0.75
195,0.65625
196,0.625
197,0.8125
198,0.6875
199,0.65625
200,0.75
201,0.8125
202,0.71875
203,0.71875
204,0.8125
205,0.75
206,0.90625
207,0.75
208,0.71875
209,0.78125
210,0.71875
211,0.71875
212,0.625
213,0.65625
214,0.71875
215,0.65625
216,0.59375
217,0.71875
218,0.65625
219,0.59375
220,0.625
221,0.8125
222,0.78125
223,0.53125
224,0.71875
225,0.71875
226,0.53125
227,0.625
228,0.5
229,0.59375
230,0.71875
231,0.78125
232,0.5625
233,0.71875
234,0.71875
235,0.8125
236,0.75
237,0.78125
238,0.71875
239,0.625
240,0.78125
241,0.6875
242,0.5625
243,0.78125
244,0.6875
245,0.65625
246,0.6875
247,0.625
248,0.84375
249,0.71875
250,0.71875
251,0.78125
252,0.90625
253,0.625
254,0.75
255,0.84375
256,0.625
257,0.5625
258,0.78125
259,0.625
260,0.6875
261,0.875
262,0.65625
263,0.65625
264,0.75
265,0.75
266,0.78125
267,0.8125
268,0.75
269,0.71875
270,0.71875
271,0.625
272,0.53125
273,0.78125
274,0.71875
275,0.90625
276,0.625
277,0.6875
278,0.71875
279,0.84375
280,0.8125
281,0.78125
282,0.875
283,0.84375
284,0.75
285,0.6875
286,0.75
287,0.84375
288,0.8125
289,0.875
290,0.875
291,0.75
292,0.65625
293,0.78125
294,0.875
295,0.84375
296,0.875
297,0.875
298,0.6875
299,0.90625
300,0.875
301,0.8125
302,0.84375
303,0.90625
304,0.875
305,0.65625
306,0.75
307,0.96875
308,0.84375
309,0.96875
310,0.84375
311,0.84375
312,0.8125
313,0.71875
314,0.78125
315,0.90625
316,0.90625
317,0.8125
318,0.8125
319,0.625
320,0.78125
321,0.84375
322,0.8125
323,0.90625
324,0.6875
325,0.90625
326,0.8125
327,0.8125
328,0.90625
329,1.0
330,0.78125
331,0.84375
332,0.875
333,0.90625
334,0.8125
335,0.8125
336,0.8125
337,0.8125
338,0.875
339,0.90625
340,0.84375
341,0.90625
342,0.78125
343,0.875
344,0.84375
345,0.875
346,0.75
347,0.84375
348,0.8125
349,0.8125
350,0.8125
351,0.90625
352,0.875
353,0.84375
354,0.90625
355,0.8125
356,0.84375
357,0.84375
358,0.84375
359,0.84375
360,0.84375
361,0.8125
362,0.78125
363,0.71875
364,0.9375
365,0.71875
366,0.6875
367,0.78125
368,0.875
369,0.8125
370,0.78125
371,0.78125
372,0.90625
373,0.75
374,0.9032258064516129
